LNACCR01 RECON  legacy=data/MAINFRAME_LNOUT_202403.dat  candidate=out/LNOUT_202403.dat
1048290571  DAYS_LATE     006               007
1048290571  STATUS        C                 L
1048731319  DAYS_LATE     104               105
1049054145  ACCRUED_INT   0000017077D       0000017077E
1049163157  ACCRUED_INT   0000010534C       0000010534D
1049163157  DAYS_LATE     030               031
1049163157  STATUS        L                 D
1049501596  ACCRUED_INT   0000018034A       0000018034B
1050156140  DAYS_LATE     062               063
1050394273  ACCRUED_INT   0000040968C       0000040968E
1050828382  DAYS_LATE     108               109
1050993273  DAYS_LATE     020               021
1051629032  DAYS_LATE     003               004
1051629032  STATUS        C                 L
1051779383  DAYS_LATE     040               041
1051844480  BALANCE       000000007693N     000000007693E
1051844480  ACCRUED_INT   0000000000{       0000000047D
1051844480  LATE_FEE      000000000         000001500
1051911840  DAYS_LATE     087               088
1052547612  LATE_FEE      000003344         000000000
1052547612  DAYS_LATE     026               027
1053532525  DAYS_LATE     075               076
1053766275  LATE_FEE      000000000         000003920
1054042324  DAYS_LATE     030               031
1054042324  STATUS        L                 D
1054052898  ACCRUED_INT   0000010649F       0000010649G
1054052898  LATE_FEE      000000000         000006270
1054052898  DAYS_LATE     069               070
1054712952  LATE_FEE      000000000         000001500
1054712952  DAYS_LATE     010               011
1054712952  STATUS        C                 L
1054967160  ACCRUED_INT   0000018649E       0000018649F
1054967160  DAYS_LATE     062               063
1055324732  DAYS_LATE     027               028
1055829090  DAYS_LATE     060               061
1055829090  STATUS        D                 X
1056162578  DAYS_LATE     004               005
1056162578  STATUS        C                 L
1056398493  ACCRUED_INT   0000039712G       0000039712I
1056575201  DAYS_LATE     061               062
1057240733  ACCRUED_INT   0000013067{       0000013067A
1057423724  DAYS_LATE     006               007
1057969805  DAYS_LATE     031               032
1058085990  ACCRUED_INT   0000019354B       0000019354C
1058085990  DAYS_LATE     072               073
1058362604  DAYS_LATE     006               007
1058362604  STATUS        C                 L
1059467945  DAYS_LATE     013               014
1059795668  DAYS_LATE     017               018
1061702186  DAYS_LATE     027               028
1061782394  LATE_FEE      000000000         000002000
1061782394  DAYS_LATE     009               010
1061782394  STATUS        C                 L
1062015662  DAYS_LATE     062               063
1062262758  ACCRUED_INT   0000014881I       0000014882{
1062421406  LATE_FEE      000000000         000005385
1064464623  ACCRUED_INT   0000034882F       0000034882H
1064707436  DAYS_LATE     024               025
1064724156  DAYS_LATE     048               049
1064736539  ACCRUED_INT   0000029256G       0000029256H
1065271750  ACCRUED_INT   0000013019B       0000013019C
1065271750  DAYS_LATE     020               021
1065596295  ACCRUED_INT   0000017477A       0000017477B
1065596295  LATE_FEE      000000000         000007170
1065596295  DAYS_LATE     054               055
1066097869  LATE_FEE      000000000         000002043
1066799678  DAYS_LATE     006               007
1066856319  DAYS_LATE     002               003
1066856319  STATUS        C                 L
1066929320  DAYS_LATE     093               094
1067890888  LATE_FEE      000003500         000000000
1067890888  DAYS_LATE     017               018
1067893099  DAYS_LATE     023               024
1068660652  ACCRUED_INT   0000019974{       0000019974A
1068660652  LATE_FEE      000010749         000000000
1068660652  DAYS_LATE     048               049
1068780502  LATE_FEE      000000000         000002500
1069002575  ACCRUED_INT   0000004233B       0000004233C
1069116785  DAYS_LATE     027               028
1069973008  LATE_FEE      000000000         000002500
1069973008  DAYS_LATE     020               021
1070586026  DAYS_LATE     006               007
1070586026  STATUS        C                 L
1070769006  DAYS_LATE     006               007
1070964870  ACCRUED_INT   0000017082H       0000017082I
1070964870  DAYS_LATE     027               028
1071457966  LATE_FEE      000000000         000004270
1071457966  DAYS_LATE     023               024
1071472953  ACCRUED_INT   0000036325H       0000036931D
1071472953  ACCR_DAYS     060               061
1071830661  ACCRUED_INT   0000048718F       0000048718I
1072401439  ACCRUED_INT   0000044106B       0000044106D
1072401439  LATE_FEE      000000000         000006516
1072524466  DAYS_LATE     012               013
1072524466  STATUS        C                 L
1072681483  LATE_FEE      000000000         000003444
1073739317  ACCRUED_INT   0000019851H       0000019851I
1073739317  LATE_FEE      000007795         000000000
1073739317  DAYS_LATE     096               097
1073929503  DAYS_LATE     027               028
1073977792  DAYS_LATE     034               035
1074976367  DAYS_LATE     025               026
1075040446  ACCRUED_INT   0000020337F       0000020337G
1075040446  DAYS_LATE     111               112
1075096823  DAYS_LATE     089               090
1075096823  STATUS        X                 W
1075501686  DAYS_LATE     005               006
1075501686  STATUS        C                 L
1075632292  DAYS_LATE     061               062
1076544263  DAYS_LATE     027               028
1076660181  LATE_FEE      000002861         000000000
1076660181  DAYS_LATE     058               059
1076876377  LATE_FEE      000000000         000002000
1076876377  DAYS_LATE     010               011
1076876377  STATUS        C                 L
1077219986  ACCRUED_INT   0000020449D       0000020449E
1077219986  DAYS_LATE     111               112
1077371583  ACCRUED_INT   0000002581B       0000002581C
1077371583  DAYS_LATE     013               014
1077371583  STATUS        C                 L
1077642688  LATE_FEE      000000000         000002656
1077642688  DAYS_LATE     009               010
1077642688  STATUS        C                 L
1078052766  DAYS_LATE     034               035
1078153056  ACCRUED_INT   0000011795B       0000011795C
1078153056  LATE_FEE      000000000         000009916
1078885676  ACCRUED_INT   0000019115C       0000019115D
1079043695  DAYS_LATE     111               112
1079685802  ACCRUED_INT   0000013494D       0000013494E
1079933490  LATE_FEE      000000000         000004673
1079973474  ACCRUED_INT   0000028700{       0000028700B
1081315495  DAYS_LATE     089               090
1081315495  STATUS        X                 W
1081652361  ACCRUED_INT   0000016459H       0000016459I
1081652361  LATE_FEE      000000000         000009384
1083653360  DAYS_LATE     011               012
1084776507  DAYS_LATE     047               048
1085157049  ACCRUED_INT   0000017603{       0000017603A
1085157049  DAYS_LATE     026               027
1085379123  ACCRUED_INT   0000001726G       0000001755E
1085379123  ACCR_DAYS     060               061
1085607351  LATE_FEE      000006436         000000000
1085607351  DAYS_LATE     086               087
1086347707  BALANCE       000000003678N     000000003678E
1086442305  ACCRUED_INT   0000005202{       0000005202A
1086487111  DAYS_LATE     030               031
1086487111  STATUS        L                 D
1086720049  DAYS_LATE     020               021
1086808942  LATE_FEE      000002003         000002002
1086808942  DAYS_LATE     069               070
1087265004  LATE_FEE      000000000         000004015
1087306427  LATE_FEE      000000000         000004697
1087306427  DAYS_LATE     010               011
1087306427  STATUS        C                 L
1087309168  DAYS_LATE     031               032
1087417753  DAYS_LATE     023               024
1087669646  DAYS_LATE     107               108
1088504350  DAYS_LATE     011               012
1088522283  DAYS_LATE     069               070
1088526212  ACCRUED_INT   0000016026{       0000016026A
1088526212  DAYS_LATE     080               081
1088731270  LATE_FEE      000003713         000003712
1088731270  DAYS_LATE     020               021
1089298795  DAYS_LATE     030               031
1089298795  STATUS        L                 D
1089570614  DAYS_LATE     082               083
1089719640  ACCRUED_INT   0000019747A       0000019747B
1089719640  DAYS_LATE     006               007
1089719640  STATUS        C                 L
1090062975  DAYS_LATE     003               004
1090062975  STATUS        C                 L
1090366115  LATE_FEE      000000000         000002000
1090468124  ACCRUED_INT   0000045238B       0000045238E
1090468124  DAYS_LATE     027               028
1090507027  ACCRUED_INT   0000012431{       0000012431A
1090507027  DAYS_LATE     003               004
1090507027  STATUS        C                 L
1090664991  BALANCE       000000003912R     000000003912I
1090664991  ACCRUED_INT   0000000000{       0000000024A
1091123862  LATE_FEE      000000000         000005254
1091123862  DAYS_LATE     024               025
1091265501  DAYS_LATE     095               096
1091351112  ACCRUED_INT   0000001717D       0000001746{
1091351112  ACCR_DAYS     060               061
1091832040  ACCRUED_INT   0000014848C       0000014848D
1091832040  LATE_FEE      000000000         000008943
1092146671  ACCRUED_INT   0000005003B       0000005003C
1092248378  LATE_FEE      000000000         000006920
1092248378  DAYS_LATE     010               011
1092248378  STATUS        C                 L
1092301484  DAYS_LATE     025               026
1092308594  DAYS_LATE     018               019
1092946045  DAYS_LATE     018               019
1093109305  ACCRUED_INT   0000034140B       0000034140D
1093260228  LATE_FEE      000004169         000000000
1093260228  DAYS_LATE     040               041
1094145361  DAYS_LATE     083               084
1094639301  DAYS_LATE     031               032
1094921828  ACCRUED_INT   0000018518B       0000018518C
1096011736  LATE_FEE      000000000         000002000
1096105912  LATE_FEE      000000000         000002000
1096442800  ACCRUED_INT   0000004235H       0000004235I
1096671881  DAYS_LATE     006               007
1096671881  STATUS        C                 L
1097627015  ACCRUED_INT   0000014598C       0000014598D
1097627015  DAYS_LATE     006               007
1097627015  STATUS        C                 L
1097903945  ACCRUED_INT   0000019826D       0000019826E
1097903945  DAYS_LATE     006               007
1097903945  STATUS        C                 L
1099290584  ACCRUED_INT   0000017887I       0000017888{
1099405829  DAYS_LATE     025               026
1099528540  ACCRUED_INT   0000012009F       0000012009G
1099699906  ACCRUED_INT   0000012883E       0000012883F
1099753346  ACCRUED_INT   0000015857H       0000015857I
TRAILER     TOT_ACCRUED   000002890326D     000002891967B
TRAILER     TOT_FEES      0000000515713     0000000657144
TRAILER     TOT_BALANCE   00000538140821H   00000538172592B
SUMMARY records_compared=394 records_mismatched=247 field_mismatches=386 trailer_mismatches=3 missing=0 extra=0
RESULT: MISMATCH
